"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Posts API","1","0","Patch post","0"
"0","","0","Todos API","1","0","Get todo by id","0"
"0","","0","Todos API","1","0","Put todo","0"
"0","","0","Posts API","1","0","Delete post","0"
"0","","0","Users API","1","0","Get user by id","0"
"0","","0","Posts API","1","0","Get all posts","0"
"0","","0","Posts API","1","0","Put post","0"
"0","","0","Posts API","1","0","Create post","0"
"0","","0","Posts API","1","0","Search posts","0"
"0","","0","Todos API","1","0","Patch todo","0"
"0","","0","Users API","1","0","Get all users","0"
"0","","0","Todos API","1","0","Delete todo","0"
"0","","0","Posts API","1","0","Get post by id","0"
"0","","0","Users API","1","0","Search users","0"
"0","","0","Todos API","1","0","Filter completed todos","0"
"0","","0","Todos API","1","0","Get all todos","0"
"0","","0","Todos API","1","0","Create todo","0"
"0","","0","Users API","1","0","Put user","0"
"0","","0","Users API","1","0","Create user","0"
"0","","0","Posts API","1","0","Get post likes","0"
